time,forecast,true,invest,bank,sum_diff
2022-08-22 16:00:00,0.33631815507075047,0.3367,False,100.0,0.007135207715831704
2022-08-22 17:00:00,0.32965542556546046,0.3357,False,100.0,0.00013136002824282178
2022-08-22 18:00:00,0.3397445271832231,0.3342,False,100.0,-0.00021994363611749224
2022-08-22 19:00:00,0.33066280394105946,0.335,False,100.0,0.005601960882617829
2022-08-22 20:00:00,0.33482776973084843,0.3385,False,100.0,0.010788117344656956
2022-08-22 21:00:00,0.3322102613876152,0.3385,False,100.0,0.004517235700834343
2022-08-22 22:00:00,0.34280589165146985,0.3409,False,100.0,-0.0034427710626689922
2022-08-22 23:00:00,0.3413159861069245,0.344,False,100.0,-0.000892020314408104
2022-08-23 00:00:00,0.34543192513084836,0.3424,False,100.0,-0.0025745620098434063
2022-08-23 01:00:00,0.34237274374090226,0.3411,False,100.0,-0.0007180328271434999
2022-08-23 02:00:00,0.3413539742718923,0.3397,False,100.0,0.0014759150918159936
2022-08-23 03:00:00,0.3381776375916399,0.3389,False,100.0,0.005485010557763237
2022-08-23 04:00:00,0.33320518320895437,0.339,False,100.0,-0.0018229983298501673
2022-08-23 05:00:00,0.34636356218405173,0.3336,False,100.0,-0.01128534327027142
2022-08-23 06:00:00,0.33090980971766504,0.3341,False,100.0,0.0030060016811740975
2022-08-23 07:00:00,0.3326787680792042,0.3377,False,100.0,0.008404301432954009
2022-08-23 08:00:00,0.3358061204835359,0.3397,False,100.0,0.0039047881594440614
2022-08-23 09:00:00,0.3383073168713322,0.3402,False,100.0,0.008400848614248335
2022-08-23 10:00:00,0.3340873430986947,0.3397,False,100.0,0.005844191982504632
2022-08-23 11:00:00,0.34049527302939997,0.3409,False,100.0,-0.0011324299276657679
2022-08-23 12:00:00,0.34005219387849933,0.3393,False,100.0,-0.001466397658559937
2022-08-23 13:00:00,0.3389214679102576,0.3439,False,100.0,0.007615455866909593
2022-08-23 14:00:00,0.34347547359683356,0.3408,False,100.0,-0.0021672792476787883
2022-08-23 15:00:00,0.3407602206663219,0.3426,False,100.0,-0.0006964916971797241
2022-08-23 16:00:00,0.34696134304320425,0.3418,False,100.0,-0.009647209565918857
2022-08-23 17:00:00,0.34463444272585253,0.3427,False,100.0,-0.00445500126228332
2022-08-23 18:00:00,0.34623416246401145,0.3455,False,100.0,0.0007905316117592931
2022-08-23 19:00:00,0.3435762183122498,0.345,False,100.0,0.001850797751805744
2022-08-23 20:00:00,0.34417013327263396,0.3455,False,100.0,0.001504302555640602
2022-08-23 21:00:00,0.345067573957077,0.3454,False,100.0,-0.0015795811002834448
2022-08-23 22:00:00,0.34783008342221944,0.3461,False,100.0,-0.0027507855996528607
2022-08-23 23:00:00,0.3479595013238778,0.3472,False,100.0,0.004169944115341606
2022-08-24 00:00:00,0.34215307843344683,0.3439,False,100.0,-0.0003205217322354015
2022-08-24 01:00:00,0.3477765752226303,0.3396,False,100.0,-0.007859986879304115
2022-08-24 02:00:00,0.34075395504253825,0.3394,False,100.0,0.0007363964204264439
2022-08-24 03:00:00,0.3373487845317719,0.3396,False,100.0,0.0020116077899695606
2022-08-24 04:00:00,0.33471177906377914,0.3414,False,100.0,0.0048764625474297385
2022-08-24 05:00:00,0.34744636660849465,0.3428,False,100.0,-1.6671792135158903e-06
2022-08-24 06:00:00,0.3365751575685533,0.3444,False,100.0,0.01154972721054709
2022-08-24 07:00:00,0.3377924360626779,0.3406,False,100.0,0.0062249314978421455
2022-08-24 08:00:00,0.3363203522332098,0.3428,False,100.0,0.00906518666330608
2022-08-24 09:00:00,0.33828698705457755,0.3423,False,100.0,0.006760254061247806
2022-08-24 10:00:00,0.34078503006295463,0.3413,False,100.0,-0.006749555240941119
2022-08-24 11:00:00,0.34818406777793665,0.3437,False,100.0,-0.009334555697697422
2022-08-24 12:00:00,0.347688416654016,0.3444,False,100.0,-0.0033288112284453053
2022-08-24 13:00:00,0.3445582101104419,0.343,False,100.0,0.00029369442684923364
2022-08-24 14:00:00,0.34125769697806585,0.3431,False,100.0,-0.0010554461038603802
2022-08-24 15:00:00,0.34814482571170297,0.3456,False,100.0,-0.001333673776382438
2022-08-24 16:00:00,0.34597454849817194,0.3457,False,100.0,-0.0023749656592684243
2022-08-24 17:00:00,0.3469917503786706,0.3457,False,100.0,3.430214944721843e-05
2022-08-24 18:00:00,0.34457112390970956,0.3472,False,100.0,-0.0001793371983279668
2022-08-24 19:00:00,0.3504769575505635,0.3496,False,100.0,-0.00020442157227762436
2022-08-24 20:00:00,0.3487812023640191,0.3506,False,100.0,0.004936201198225687
2022-08-24 21:00:00,0.34973842851732406,0.3494,False,100.0,0.0005479945113245899
2022-08-24 22:00:00,0.3487954988091957,0.3457,False,100.0,-0.0025327062629639796
2022-08-24 23:00:00,0.3458337850319939,0.3456,False,100.0,-0.0031620484789057213
2022-08-25 00:00:00,0.3498779248628686,0.3496,False,100.0,0.00010069426889897093
2022-08-25 01:00:00,0.3484615146048304,0.3462,False,100.0,0.0024327143300801324
2022-08-25 02:00:00,0.3413148976847346,0.3452,False,100.0,0.0018406355255716211
2022-08-25 03:00:00,0.3458918625014841,0.3454,False,100.0,0.004447544458092922
2022-08-25 04:00:00,0.3414945811236162,0.347,False,100.0,0.008140720453541195
2022-08-25 05:00:00,0.3448006811280174,0.348,False,100.0,-0.00026649602565731456
2022-08-25 06:00:00,0.35004500009300643,0.3493,False,100.0,0.002538122325368708
2022-08-25 07:00:00,0.34280642296606617,0.347,False,100.0,0.005752355163820777
